iata,tags
EVN,Logistics CIS
EWR,|US|Brazilian
EWR,|US|Chinese
EWR,|US|Indian
EWR,|US|Jewish
EWR,|US|Nigerian
EWR,|US|Pakistani
EWR,Apparel
EWR,Global logistics
EWR,Logistics NAC
EWR,Pharma
EWR,Professional services
EWR,Software
EXT,Wind energy
EZE,|AR|Bolivian
EZE,|US|Jewish
EZE,Advertising & media
EZE,Cryptocurrency
EZE,Logistics LATAM
EZE,Loves Florianopolis x2|
FAE,Arctic fishing
FAE,Sheep
FAI,Arctic oil
FAI,Boreal
FAI,Loves Arctic|
FAI,Santa
FAO,Atlantic Fishing
FAO,Mediterranean Ag
FAR,Grain Belt
FAR,Nordic|
FAT,|US|Guerrero & Oaxaca
FAT,Agriculture
FAT,Horticulture
FBM,|CD|Congolese
FBM,Copper
FBM,Copperbelt
FBM,Rare earths
FBM,Sapeur Network
FBM,Uranium
FCO,|AU|Italian
FCO,|BR|Italian
FCO,|IT|Filipino
FCO,|US|Italian
FCO,Apparel
FCO,Eurozone banking
FCO,Logistics EU Med
FCO,Luxury goods
FCO,Oil
FDF,L'Hexagone Hop
FDF,Loves French Antilles|
FDF,Rum
FEZ,|FR|Moroccan
FEZ,|NL|Moroccan
FEZ,Mediterranean Ag
FIH,|CD|Congolese
FIH,Gemstones
FIH,Peacekeeping
FIH,Sapeur Network
FJR,|AE|Malayali
FKB,Paper & furniture
FKI,Diamonds
FKI,Sapeur Network
FLG,Spirituality
FLL,|CU|Cuban x2
FLL,|US|Colombian
FLL,|US|Jewish
FLL,|US|Venezuelan
FLL,CC|
FLL,Hispanic|
FLL,Horticulture
FLL,Logistics LATAM
FLN,Hispanic|
FLN,Loves Florianopolis x2|
FLN,Surfing
FLR,Viticulture
FMM,Loves Arctic|
FMO,Paper & furniture
FNA,Diamonds
FNA,Titanium
FNJ,Dark economy
FNT,Auto parts
FOC,|AU|Chinese
FOC,|CA|Chinese
FOC,|ID|Chinese
FOC,|TH|Chinese
FOC,|US|Chinese
FOC,Chinese tourism|
FOC,Electronics
FOC,Fabrics
FOC,Footwear
FOC,Logistics APAC
FOC,Tea
FOR,Apparel
FOR,Petrobras
FPO,Casinos
FRA,|DE|Serbian
FRA,|DE|Turkish
FRA,Eurozone banking
FRA,Global logistics
FRA,Investment banking
FRA,Loves Arctic|
FRA,New energy
FRA,Pharma
FRA,Professional services
FRA,Telco
FRD,Northwest Passage
FRU,Agriculture
FSD,Nordic|
FSD,Regional banking US
FSD,Soybeans
FSM,Cotton
FSP,Atlantic Fishing
FSP,L'Hexagone Hop
FSP,Loves French Antilles|
FSZ,Appliances
FSZ,Machinery
FTE,Mountaineering
FUG,Steel
FUK,|JP|Korean
FUK,|JP|Vietnamese
FUK,Electronics
FUK,Heavy industry
FUK,Software
FUN,Polynesia
FUO,Appliances
FUO,Auto parts
FUO,Ceramics
FUO,Electronics
FWA,Academia
FWA,Soybeans
GAU,Agriculture
GAU,Sunni|
GAU,Tea
GAY,Spirituality
GBB,Agriculture
GBB,Cotton
GBE,Diamonds
GBJ,Loves French Antilles|
GCH,NIOC
GCI,Offshore finance
GCK,Wind energy
GCM,Offshore finance
GDK,Petrochemicals
GDK,Shipbuilding
GDL,|US|Jalisco & Michoacán
GDL,Apparel
GDL,CPG & Retail
GDL,Software
GDL,Spirits
GDN,|IE|Polish
GDN,|US|Polish
GDN,Marine
GDN,Vodka
GDN,Wind energy
GDV,Big Sky
GDX,Gazprom
GDX,Gold
GEG,Forestry
GEG,Grain Belt
GEO,Oil
GEO,Rum
GFK,Nordic|
GGW,Big Sky
GHV,Vampiric
GIB,Casinos
GIB,Logistics EU Med
GIB,Offshore finance
GIG,|US|Brazilian
GIG,Advertising & media
GIG,Offshore oil
GIG,Oil
GIG,Petrobras
GIL,Mountaineering
GIZ,|SA|Bangladeshi
GIZ,|SA|Egyptian
GIZ,|SA|Malayali
GIZ,|SA|Pakistani
GIZ,Horticulture
GIZ,Oil refining
GJA,Soybeans
GJL,|FR|Algerian x2
GLA,Defense
GLA,Loves Alps|
GLA,Machinery
GLA,Marine
GLA,Whiskey
GLH,Rice
GLI,Coal seam gas
GLT,Coal
GLT,Coal seam gas
GLT,LNG
GMO,|US|Nigerian
GMO,Dark economy
GMP,|JP|Korean
GMP,|US|Korean
GMP,Appliances
GMP,Auto parts
GMP,CPG & Retail
GMP,Electronics
GMP,Evangelicalism
GNB,|FR|Algerian x2
GNB,|FR|Moroccan
GNB,|FR|Serbian
GNJ,Oil
GNV,Academia
GNY,Footwear
GOA,Logistics APAC
GOA,Shipbuilding
GOA,Spirituality
GOH,Anglophone|
GOH,Arctic fishing
GOH,Loves Arctic|
GOI,Anglophone|
GOI,Russian|
GOJ,Heavy industry
GOJ,Nuclear energy
GOM,EAC|
GOM,Rare earths
GOM,Rwanda Rundi|
GOT,Anglophone|
GOT,Autos
GOT,Life sciences
GOT,Marine
GOU,Chocolate
GOV,Bauxite
GPT,Aerospace
GPT,Casinos
GPT,ExxonMobil
GRB,Dairy
GRB,Maple syrup
GRK,Ranching
GRO,|ES|Romanian
GRO,Mediterranean Ag
GRQ,Potato
GRR,Evangelicalism
GRR,Paper & furniture
GRU,|BR|Bolivian
GRU,|BR|Italian
GRU,|BR|Nikkei
GRU,|BR|Polish
GRU,|BR|Syrian
GRU,|US|Brazilian
GRU,Aerospace
GRU,Asset management
GRU,Beer
GRU,Ceramics
GRU,Lebanese|
GRU,Telco
GRV,Defense RU
GRX,Mediterranean Ag
GSO,Paper & furniture
GSO,Tobacco
GSP,Appliances
GSP,Autos
GTE,Bauxite
GTE,Manganese
GTF,Cryptocurrency
GUA,|US|Guatemalan
GUA,Apparel
GUA,Evangelicalism
GUA,Latifundia Legacy
GUB,Seafood
GUM,|GU|Filipino
GUM,Japanese|
GUM,Korean|
GUM,Micronesia
GUM,US military
GUR,Seafood
GUW,Gazprom
GUW,Oil
GUW,Uranium
GVA,Asset management
GVA,Bureaucracy
GVA,CPG & Retail
GVA,Francophonie|
GVA,Humanitarian NGO
GVA,Loves Alps|
GVA,Luxury goods
GVA,Offshore finance
GVA,Pharma
GVA,Science megastructure
GVR,Gemstones
GWD,|OM|Baloch
GWD,Belt & Road|
GWY,|US|Irish American
GYA,Drug trafficking
GYD,Horticulture
GYD,LNG
GYD,Offshore oil
GYE,|ES|Ecuadorian
GYE,|US|Ecuadorian
GYE,Chocolate
GYE,Coffee
GYE,Gold
GYE,Latifundia Legacy
GYE,Logistics LATAM
GYN,Ranching
GYN,Sugar
GZO,Seafood
HAJ,Autos
HAJ,Loves Arctic|
HAJ,Machinery
HAJ,Nordic|
HAJ,Potato
HAK,Luxury goods
HAK,Rice
HAK,Spices / Tropical Ag
HAK,Tropical fishing
HAL,Conservation
HAM,|DE|Afghan
HAM,|DE|Iranian
HAM,|DE|Turkish
HAM,Aerospace
HAM,Copper
HAM,Heavy industry
HAM,Logistics EU Med
HAM,Loves Arctic|
HAM,Marine
HAM,Renewables
HAM,Wind energy
HAN,|AU|Vietnamese
HAN,|JP|Vietnamese
HAN,|US|Hmong
HAN,|US|Vietnamese
HAN,Apparel
HAN,CPG & Retail
HAN,Electronics
HAN,Fabrics
HAN,Tea
HAU,Equinor
HAU,Manganese
HAV,Rum
HAV,Sugar
HBA,Seafood
HBE,Logistics EU Med
HBX,Agriculture
HCQ,Ranching
HDG,Coal CN
HDG,Steel
HDS,Conservation
HDY,Logistics APAC
HDY,Rubber
HEH,Dark economy
HEK,Soybeans
HEL,Anglophone|
HEL,Asset management
HEL,Nuclear energy
HEL,Shipbuilding
HEL,Telco
HER,Anglophone|
HER,Dutch|
HER,Francophonie|
HER,German|
HER,Nordic|
HER,Water
HET,Dairy
HET,Heavy industry
HFA,Logistics EU Med
HFE,Appliances
HFE,Autos
HFE,Coal CN
HFE,CPG & Retail
HFE,Machinery
HFE,New energy
HGA,|NO|Somali
HGA,|US|Somali
HGH,|AU|Chinese
HGH,|CA|Chinese
HGH,|ID|Chinese
HGH,|TH|Chinese
HGH,|US|Chinese
HGH,Academia
HGH,Chinese tourism|
HGH,CPG & Retail
HGH,Fabrics
HGH,New energy
HGH,Shipbuilding
HGH,Software
HGU,Gold FIFO
HHN,|DE|Polish
HHN,Loves Arctic|
HHN,Wind energy
HHP,Investment banking
HIA,Electronics
HIB,Iron ore
HIJ,Auto parts
HIJ,Steel
HIR,Melanesia
HJJ,Zinc Eurasia
HKG,Advertising & media
HKG,Cantonese|
HKG,Computers
HKG,CPG & Retail
HKG,Global logistics
HKG,HK Taiwan Kinship x2|
HKG,Investment banking
HKG,Logistics APAC
HKG,Luxury goods
HKG,Offshore finance
HKG,Professional services
HKG,Telco
HKG,Toys
HKT,Chinese tourism|
HKT,Drug trafficking
HKT,German|
HKT,Indian Ocean fishing
HKT,Loves Phuket x2|
HKT,Nordic|
HKT,Rubber
HKT,Russian Vacay x2|
HLD,Coal CN
HLD,Ranching
HLD,Rare earths
HLE,Commonwealth ties
HLN,Big Sky
HLN,Forestry
HLZ,Agribusiness
HLZ,Dairy
HLZ,Viticulture
HMI,Coal CN
HMI,Steel
HMO,Autos
HMO,Drug trafficking
HND,|BR|Nikkei
HND,|JP|Korean
HND,|JP|Vietnamese
HND,|MP|Nikkei
HND,|PE|Nikkei
HND,|US|Nikkei
HND,Advertising & media
HND,Autos
HND,Electronics
HND,New energy
HND,Telco
HNL,|US|Filipino
HNL,|US|Nikkei
HNL,|US|Samoan
HNL,PIF|
HNL,Polynesia
HNL,Surfing
HNL,US military
HNM,PIF|
HNY,Manganese
HOB,Oil fracking
HOD,Shia|
HOG,Nickel
HOM,Arctic fishing
HOU,|US|Durango & Zacatecas
HOU,Healthcare admin
HOU,LNG
HOU,Offshore oil
HOU,Oil
HOU,Oil fracking
HOU,Oil refining
HOU,Space
HPH,|JP|Vietnamese
HPH,Fabrics
HPN,|US|Ecuadorian
HPN,|US|Guatemalan
HPN,|US|Irish American
HPN,Hispanic|
HRB,Agribusiness
HRB,Chinese tourism|
HRB,Cryptocurrency
HRB,Pharma
HRB,Titanium
HRE,Platinum
HRE,Rare earths
HRE,Tobacco
HRE,Zim Connect
HRG,Czech|
HRG,Dutch|
HRG,German|
HRG,Hungarian|
HRG,Nordic|
HRG,Polish|
HRG,Russian Vacay x2|
HRH,Shia|
HRH,Sunni|
HRL,Hispanic|
HSA,Uranium
HSC,Zinc Eurasia
HSG,Spirituality
HSN,Seafood
HSV,Academia
HSV,Defense
HSV,Space
HTA,Coal RU
HTA,Rosneft
HTA,Taiga
HTN,Cotton
HTN,Jade
HTN,Sunni|
HTS,Coal
HTS,Gemstones
HTY,Mediterranean marine
HUI,Monsoon Ag
HUI,Surfing
HUX,Surfing
HUY,Wind energy
HUZ,Electronics
HUZ,New energy
HUZ,Nuclear energy
HUZ,Petrochemicals
HVD,Throat Singing Circuit
HVG,Aluminum
HVN,|US|Stateside Puerto Ricans
HVN,Academia
HVR,Big Sky
HVR,Zinc
HYA,Atlantic Fishing
HYD,|CA|Telugu
HYD,Back office
HYD,Pharma
HYD,Shia|
HYD,Software
HYN,Appliances
HYN,Fabrics
HYN,Rice
HYN,Tea
HZH,Tobacco
IAD,|US|Ethiopian
IAD,|US|Guatemalan
IAD,|US|Indian
IAD,|US|Jewish
IAD,|US|Korean
IAD,Bureaucracy
IAD,NA Capitols|
IAD,Software
IAD,US military
IAH,|US|Chinese
IAH,|US|Indian
IAH,|US|Nigerian
IAH,|US|Pakistani
IAH,|US|Vietnamese
IAH,Equinor
IAH,ExxonMobil
IAH,Hispanic|
IAH,Oil
IAH,Petrochemicals
IAH,Professional services
IAH,Software
IAO,Surfing
IAS,|ES|Romanian
IAS,|IT|Romanian
IAS,Back office
IAS,Viticulture
IBR,Space
ICN,|JP|Korean
ICN,|US|Korean
ICN,Autos
ICN,Computers
ICN,Investment banking
ICN,Pharma
ICN,Renewables
ICN,Semiconductors
ICN,TV / movies
ICN,US military
ICT,|US|Jalisco & Michoacán
ICT,Aerospace
ICT,Defense
ICT,Grain Belt
ICT,Machinery
IDA,Gemstones
IDA,Nuclear energy
IDR,Agriculture
IEV,Grain Belt
IFJ,Atlantic Fishing
IFJ,Geothermal
IFN,|DE|Iranian
IFN,|TR|Iranian
IFN,|US|Iranian x2
IFN,Steel
IGS,Auto parts
IGU,|BR|Nikkei
IGU,Soybeans
IGU,UFOs
IKA,|DE|Iranian
IKA,|TR|Iranian
IKA,|US|Iranian x2
IKA,Autos
IKA,NIOC
IKA,Oil
IKT,Gold
IKT,Manganese
IKT,Rosneft
IKT,Taiga
ILD,|ES|Romanian
ILG,Regional banking US
ILM,Forestry
ILO,|CA|Filipino
ILO,|IE|Filipino
ILO,|IT|Filipino
ILO,|SA|Filipino
ILO,|US|Filipino
ILO,Monsoon Ag
ILO,Spices / Tropical Ag
ILR,|US|Nigerian
ILY,Whiskey
IMP,Latifundia Legacy
IMT,Maple syrup
INC,Coal CN
INC,Sunni|
IND,|US|Jalisco & Michoacán
IND,Academia
IND,Logistics NAC
IND,Machinery
IND,Oil fracking
IND,Pharma
INN,Loves Alps|
INN,Loves Tiroler Unterlan x2|
INN,Mountaineering
INU,Melanesia
INV,Cryptids
INV,Whiskey
INW,UFOs
IOM,Offshore finance
IOS,Petrobras
IPN,Heavy industry
IPT,Oil fracking
IQM,Gold
IQQ,Copper
IQQ,Water
IQQ,Zinc
IQT,Amazonia
IQT,Forestry
ISA,Copper FIFO
ISA,Copper FIFO
ISA,Zinc
ISB,|US|Pakistani
ISB,Belt & Road|
ISK,Horticulture
ISP,|US|Salvadoran
IST,|DK|Turkish
IST,|NL|Turkish
IST,|TR|Afghan
IST,|TR|Iranian
IST,|TR|Iraqi
IST,Humanitarian NGO
IST,Islamic finance
IST,Logistics CIS
IST,Logistics EU Med
ISU,|SE|Iraqi
ISU,|TR|Iraqi
ISU,Shia|
ITH,Academia
ITH,Dairy
ITM,|JP|Korean
ITM,|JP|Vietnamese
ITM,Electronics
ITM,Robotics
ITM,Whiskey
ITO,PIF|
ITO,Science megastructure
IUE,Polynesia
IVC,Sheep
IWD,Maple syrup
IWK,Petrochemicals
IWK,US military
IXA,Paper & furniture
IXB,Cryptids
IXB,Potato
IXB,Tea
IXC,|CA|Punjabi
IXC,Fabrics
IXC,Software
IXE,|AE|Kannada
IXE,|OM|Kannada
IXE,Marine
IXG,Sugar
IXM,|AE|Tamil
IXM,|ID|Tamil
IXM,|MY|Tamil
IXM,Pharma
IXR,Monsoon Ag
IXR,Paper & furniture
IXR,Steel
IXR,Textiles
IXS,Sunni|
IXS,Tea
IXU,|SG|Marathi
IXU,Gemstones
IXU,Sugar
IXZ,Indian Ocean fishing
IZO,Agriculture
IZO,Seafood
JAC,Mountaineering
JAI,Agriculture
JAI,Gemstones
JAN,Heavy industry
JAN,Machinery
JAN,Poultry
JAU,Copper
JAV,Arctic fishing
JAX,|US|Filipino
JAX,Logistics NAC
JAX,Regional banking US
JAX,US military
JBK,Coal CN
JBK,Grain Belt
JBQ,Sugar
JBR,Rice
JDZ,Ceramics
JED,|SA|Bangladeshi
JED,|SA|Egyptian
JED,|SA|Filipino
JED,|SA|Indonesian
JED,|SA|Malayali
JED,|SA|Pakistani
JED,Islamic finance
JED,Logistics MEA
JED,Petrochemicals
JER,Offshore finance
JFK,|US|Jewish
JFK,|US|Russian
JFK,|US|Ukrainian
JFK,Advertising & media
JFK,Asset management
JFK,Cantonese|
JFK,CC|
JFK,Humanitarian NGO
JFK,Investment banking
JFK,Luxury goods
JFK,Professional services
JFK,TV / movies
JGA,Oil refining
JGA,Petrochemicals
JGD,Gemstones
JGD,Gold
JGD,Soybeans
JGN,Space
JGN,Steel
JGS,Rice
JHB,|MY|Malayali
JHB,Electronics
JHB,Logistics APAC
JHB,Rubber
JHG,Sinopec
JIB,Belt & Road|
JIB,Logistics MEA
JIC,Copper
JIL,PetroChina
JIU,Horticulture
JJN,Ceramics
JJN,Footwear
JLR,Sugar
JMK,Anglophone|
JMK,Francophonie|
JMK,Italian|
JNB,|ZA|Ethiopian
JNB,Agriculture
JNB,Copperbelt
JNB,Diamonds
JNB,Gold
JNB,Logistics MEA
JNB,Platinum
JNB,Rare earths
JNB,Telco
JNB,Uranium
JNG,Machinery
JNU,Arctic fishing
JNZ,Horticulture
JNZ,Textiles
JOG,Apparel
JOG,Spices / Tropical Ag
JOI,Autos
JRA,Investment banking
JRA,Offshore finance
JRB,Investment banking
JRG,Aluminum
JRG,Coal
JRO,Coffee
JRO,Conservation
JRO,Mountaineering
JRO,Ranching
JRT,Amazonia
JSR,Monsoon Ag
JTC,Latifundia Legacy
JTR,Anglophone|
JTR,Francophonie|
JTR,Italian|
JUB,Peacekeeping
JUJ,Latifundia Legacy
JUL,Potato
JUN,Alaska Milk Run
JUZ,Agriculture
JWA,Diamonds
JXA,Gemstones
JZH,Aluminum
JZH,Iron ore
KAN,Peanuts
KBL,|DE|Afghan
KBL,|PK|Afghan
KBL,|TR|Afghan
KBL,Drug trafficking
KBL,Pashto|
KBP,Grain Belt
KBV,Nordic|
KBV,Spices / Tropical Ag
KBV,Tropical fishing
KCH,Forestry
KCH,LNG
KCH,Oil refining
KCT,Surfing
KCZ,Forestry
KCZ,Rice
KCZ,Seafood
KDH,Drug trafficking
KDH,Pashto|
KDU,Mountaineering
KEF,Aluminum
KEF,Atlantic Fishing
KEF,Geothermal
KEJ,Coal RU
KEJ,Vodka
KER,Zinc Eurasia
KGA,Diamonds
KGD,Defense RU
KGD,Logistics CIS
KGF,Zinc Eurasia
KGI,Gold FIFO
KGI,Nickel
KGI,Rare earths
KGL,Coffee
KGL,Peacekeeping
KGS,Anglophone|
KGS,Dutch|
KGS,German|
KGS,Nordic|
KHG,Sunni|
KHG,Zinc Eurasia
KHH,|TW|Indonesian
KHH,Computers
KHH,HK Taiwan Kinship x2|
KHH,Paper & furniture
KHH,Seafood
KHH,Steel
KHI,|AE|Pakistani
KHI,|PK|Afghan
KHI,|SA|Pakistani
KHI,|UK|Pakistani
KHI,|US|Pakistani
KHI,Back office
KHI,Belt & Road|
KHI,Islamic finance
KHI,Textiles
KHK,NIOC
KHN,Aerospace
KHN,Ceramics
KHN,Copper
KHN,Cotton
KHN,Footwear
KHN,Uranium
KHS,|OM|Baloch
KHS,Oil
KHV,Gazprom
KHV,Machinery
KHV,Russian Vacay x2|
KHV,Taiga
KIJ,Nuclear energy
KIN,Drug trafficking
KIN,Rum
KIT,Copperbelt
KIX,|BR|Nikkei
KIX,|JP|Korean
KIX,|JP|Vietnamese
KIX,|MP|Nikkei
KIX,|PE|Nikkei
KIX,|US|Nikkei
KIX,Asset management
KIX,Computers
KIX,Life sciences
KIX,Petrochemicals
KIX,Semiconductors
KJA,Aerospace
KJA,Aluminum
KJA,Coal RU
KJA,Gold
KJA,Rosneft
KJA,Russian Vacay x2|
KJA,Taiga
KJT,Tea
KME,|US|Salvadoran
KME,Rare earths
KMG,|AU|Chinese
KMG,|CA|Chinese
KMG,|ID|Chinese
KMG,|TH|Chinese
KMG,|US|Chinese
KMG,Bauxite
KMG,Chinese tourism|
KMG,Rare earths
KMG,Spices / Tropical Ag
KMI,Agribusiness
KMI,Spirituality
KMJ,Semiconductors
KMQ,Electronics
KMS,Chocolate
KNO,Coffee
KNO,Logistics APAC
KNO,Spices / Tropical Ag
KNX,Diamonds
KOA,Horticulture
KOA,PIF|
KOA,Surfing
KOJ,Geothermal
KOJ,Seafood
KOJ,Space
KOJ,Spirituality
KOS,|KH|Indonesian
KOS,Dark economy
KOS,Indian Ocean fishing
KPO,Steel
KRK,|IE|Polish
KRK,|US|Polish
KRK,Back office
KRK,Software
KRL,Cotton
KRL,PetroChina
KRN,Finnish|
KRN,Iron ore
KRO,Rosneft
KRR,|RU|Armenian
KRR,Aluminum
KRR,Grain Belt
KRR,Zinc Eurasia
KRS,Aluminum
KRS,Equinor
KRS,Loves Spain|
KRT,Oil
KRT,Oil refining
KRW,LNG
KRW,Offshore oil
KRY,PetroChina
KSC,Steel
KSH,Cotton
KSU,Equinor
KTA,Copper FIFO
KTA,Iron ore
KTA,LNG
KTM,Cryptids
KTM,Mountaineering
KTM,Peacekeeping
KTM,Spirituality
KTN,Alaska Milk Run
KTN,Arctic fishing
KTT,Loves Arctic|
KTW,Autos
KTW,Machinery
KTW,Robotics
KUA,Bauxite
KUA,Petrochemicals
KUF,Aerospace
KUF,Auto parts
KUF,Gazprom
KUF,Machinery
KUF,Russian Vacay x2|
KUL,|MY|Malayali
KUL,|MY|Nepalese
KUL,|MY|Tamil
KUL,Appliances
KUL,Islamic finance
KUL,Rubber
KUN,Paper & furniture
KUV,Wind energy
KVA,Loves Kavala x2|
KVA,Mediterranean marine
KWA,US military
KWE,Bauxite
KWE,Chinese tourism|
KWE,CPG & Retail
KWE,Logistics APAC
KWI,Oil
KWI,Oil refining
KWJ,Machinery
KWL,Logistics APAC
KWL,Rice
KWL,Sugar
KWZ,Copperbelt
KXB,Nickel
KXO,Conservation
KYZ,Throat Singing Circuit
KZN,|AE|Russian
KZN,|US|Russian
KZN,Aluminum
KZN,Machinery
KZN,Russian Vacay x2|
KZO,Oil refining
KZO,Space
KZO,Uranium
LAD,Diamonds
LAD,Logistics MEA
LAD,Oil
LAD,Sinopec
LAE,Coffee
LAE,ExxonMobil
LAE,Gold FIFO
LAL,Horticulture
LAN,Academia
LAP,Anglophone|
LAS,Casinos
LAS,CPG & Retail
LAS,Hispanic|
LAS,UFOs
LAU,Logistics MEA
LAX,|US|Chinese
LAX,|US|Filipino
LAX,|US|Iranian x2
LAX,|US|Korean
LAX,|US|Vietnamese
LAX,Advertising & media
LAX,Drug trafficking
LAX,Hispanic|
LAX,Regional banking US
LAX,SoCal NoCal
LAX,TV / movies
LBA,|GB|Indian
LBA,|UK|Pakistani
LBA,Oil fracking
LBB,Ranching
LBC,|DE|Polish
LBC,Logistics EU Med
LBC,Loves Arctic|
LBC,Nordic|
LBD,Agriculture
LBL,Ranching
LBS,Agriculture
LBV,Offshore oil
LCA,EU|
LCA,Greek|
LCA,Israeli Vacay x2
LCA,Marine
LCA,Nordic|
LCA,Offshore finance
LCA,Russian Vacay x2|
LCA,Russian|
LCH,Petrochemicals
LCJ,Appliances
LCK,|US|Somali
LCX,Zinc Eurasia
LCY,|UK|Jewish
LCY,Academia
LCY,Diamonds
LCY,Eurozone banking
LCY,Investment banking
LCY,Loves Alps|
LCY,Luxury goods
LCY,Offshore finance
LCY,Professional services
LCY,Spirits
LDB,Poultry
LDE,Spirituality
LEA,Copper FIFO
LEA,Gemstones
LED,|AE|Russian
LED,|RU|Armenian
LED,|US|Russian
LED,Defense RU
LED,Gazprom
LED,Logistics CIS
LED,Machinery
LED,Russian Vacay x2|
LED,Shipbuilding
LED,Vodka
LEI,British Sunny Vacay x2|
LEI,Horticulture
LEJ,Auto parts
LEJ,LNG
LEJ,Logistics EU Med
LEJ,Loves Arctic|
LER,Rare earths
LER,Uranium
LEX,Academia
LEX,Coal
LEX,Whiskey
LFQ,Baijiu
LFQ,Steel
LFT,ExxonMobil
LFT,Offshore oil
LGA,|US|Indian
LGA,|US|Jewish
LGA,|US|Korean
LGA,|US|Polish
LGA,|US|Stateside Puerto Ricans
LGA,Academia
LGA,CPG & Retail
LGA,Regional banking US
LGA,Software
LGA,Telco
LGB,|US|Nikkei
LGB,|US|Salvadoran
LGB,|US|Samoan
LGB,Defense
LGB,Global logistics
LGB,Logistics NAC
LGB,Petrochemicals
LGB,SoCal NoCal
LGB,Toys
LGK,|MY|Tamil
LGK,German|
LGK,Indian Ocean fishing
LGW,|GB|Indian
LGW,|UK|Nigerian
LGW,|UK|Polish
LGW,Auto parts
LGW,Commonwealth ties
LGW,Pharma
LGW,Tobacco
LHE,|AE|Pakistani
LHE,|SA|Pakistani
LHE,|UK|Pakistani
LHE,|US|Pakistani
LHE,Apparel
LHE,Back office
LHE,Belt & Road|
LHE,Dairy
LHE,Fabrics
LHE,Footwear
LHR,|GB|Indian
LHR,|UK|Nigerian
LHR,|UK|Pakistani
LHR,Academia
LHR,Advertising & media
LHR,Asset management
LHR,Bengali|
LHR,Bureaucracy
LHR,Commonwealth ties
LHR,Defense
LHR,Investment banking
LHR,Professional services
LHR,Telco
LHR,TV / movies
LHW,Aluminum
LHW,PetroChina
LHW,Potato
LIH,PIF|
LIL,|FR|Polish
LIL,L'Hexagone Hop
LIM,|PE|Nikkei
LIM,|PE|Venezuelan
LIM,Colonial ties bind
LIM,Steel
LIM,Zinc
LIN,|IT|Romanian
LIN,Advertising & media
LIN,Fine cheese
LIN,Machinery
LIO,Horticulture
LIR,Anglophone|
LIR,Latifundia Legacy
LIS,Eurozone banking
LIS,Logistics EU Med
LIS,Marine
LIS,Mediterranean Ag
LIT,Poultry
LJG,Zinc Eurasia
LJU,Auto parts
LJU,Petrochemicals
LJU,Pharma
LKO,Monsoon Ag
LKO,Potato
LKO,Shia|
LLA,Boreal
LLF,Rare earths
LLW,Agriculture
LLW,Peanuts
LLW,Tobacco
LMP,Mediterranean marine
LNK,Academia
LNK,Oil fracking
LNO,Nickel
LNV,Gold FIFO
LNY,PIF|
LOP,Gemstones
LOS,|AE|Nigerian
LOS,|UK|Nigerian
LOS,|US|Nigerian
LOS,Belt & Road|
LOS,Logistics MEA
LOS,Oil
LOS,Sinopec
LOS,TV / movies
LPA,Atlantic Fishing
LPA,British Sunny Vacay x2|
LPA,British Sunny Vacay x2|
LPA,Nordic|
LPB,|AR|Bolivian
LPB,|BR|Bolivian
LPB,Latifundia Legacy
LPB,Zinc
LPL,|GB|Indian
LPL,|UK|Nigerian
LPL,Loves Alps|
LPL,Marine
LPQ,Drug trafficking
LPQ,Spices / Tropical Ag
LPQ,Textiles
LPT,Sugar
LRD,Hispanic|
LRD,Oil fracking
LRH,Spirits
LRM,Sugar
LRT,Atlantic Fishing
LSC,Spirits
LSC,Viticulture
LSI,Atlantic Fishing
LTN,|GB|Indian
LTN,|UK|Jewish
LTN,|UK|Nigerian
LTN,|UK|Pakistani
LTN,Life sciences
LTN,Loves Alps|
LTN,Software
LUA,Mountaineering
LUA,Spirituality
LUG,Italian|
LUM,Jade
LUN,Agriculture
LUN,Anglophone|
LUN,Copperbelt
LUX,Asset management
LUX,Eurozone banking
LUX,Logistics EU Med
LUX,Lusophone|
LUX,Offshore finance
LVO,Gold FIFO
LW0,Investment banking
LW0,Offshore finance
LWK,Equinor
LXA,PetroChina
LXA,Sheep
LXA,Spirituality
LYA,Paper & furniture
LYG,Logistics APAC
LYG,Nuclear energy
LYH,Evangelicalism
LYI,Agriculture
LYI,Peanuts
LYP,Cotton
LYP,Fabrics
LYR,Loves Arctic|
LYR,Polar research
LYS,|FR|Algerian x2
LYS,|FR|Armenian
LYS,|FR|Moroccan
LYS,|FR|Serbian
LYS,|FR|Tunisian x2
LYS,CPG & Retail
LYS,Nuclear energy
LYS,Pharma
LYS,Software
LZH,Autos
LZO,Baijiu
MAA,|AE|Tamil
MAA,|ID|Tamil
MAA,|MY|Tamil
MAA,Auto parts
MAA,Footwear
MAA,Petrochemicals
MAA,Pharma
MAA,TV / movies
MAA,Water
MAB,Manganese
MAD,|ES|Ecuadorian
MAD,|ES|Peruvian
MAD,|ES|Romanian
MAD,Colonial ties bind
MAD,Eurozone banking
MAD,Logistics EU Med
MAD,Telco
MAF,|US|Durango & Zacatecas
MAF,Cotton
MAF,Oil fracking
MAJ,Micronesia
MAK,Oil
MAN,|GB|Indian
MAN,|UK|Nigerian
MAN,|UK|Pakistani
MAN,|UK|Polish
MAN,Back office
MAN,Bengali|
MAN,Commonwealth ties
MAN,Loves Alps|
MAN,Pharma
MAO,Amazonia
MAO,Appliances
MAO,Drug trafficking
MAO,Forestry
MAO,Horticulture
MAO,Petrobras
MAO,Rubber
